Timestamp,Presentation Round,Name of Presenter,Briefly summarize the presenter's argument,How effective was the presenter's argument? ,Please rate the organization of the presentation.,Please rate the visuals included in the presentation.,Please offer any additional constructive feedback here:
9/6/2017 18:46:00,1,11,Centrum West,4,4,5,quite nice
9/6/2017 18:46:02,1,11,Central area for investment,5,5,5,N/A
9/6/2017 18:46:22,1,21,Investors have the potential to determine their own revenue stream based on reviews ,4,5,4,"A little too much text on the slides, but overall informative and supported her initial argument "
9/6/2017 18:47:32,1,4,That the most profitable neighborhoods (above average) are the best investment.,3,3,4,Better time keeping! Presentation was a little long for 5 min
9/6/2017 18:47:33,1,21,the behavior and effort of the host is tied to the success of the listing,4,4,4,"very organized, ran out of time but that's because there was a lot of info"
9/6/2017 18:47:51,1,21,That the way the host treats the guests are important in good revenues. ,4,5,4,A bit more concise. 
9/6/2017 18:47:57,1,15,She recommended we invest in either lofts or boats based on review performance,4,5,4,Her argument made sense and i like that use of multiple chart types and tables to explain logic. 
9/6/2017 18:48:13,1,21,Successful hosts are very responsive. Not all hosts are successful.,4,3,3,"The argument was very good and I liked the extra effort taken to gather external data. In my opinion, the presentation would have been a lot more condensed with the use of visualizations. "
9/6/2017 18:48:19,1,15,The property types that receive the most positive reviews are those with lofts and boats in specific cities in Amsterdam ,4,3,4,"The arguments were solid, but missing ""so, what""? No recommendations included and great visuals and data but would put less text on slides"
9/6/2017 18:48:39,1,11,"Investors should focus on Centrum-West neighborhood and on investors with meeting certain factors re:revenue, ratings and occupancy",4,5,5,The presentation itself was very well designed and clear to read and I appreciated the explanation of thought process in deciding which factors were important
9/6/2017 18:48:41,1,4,Which best neighborhood to host and stay at AirBnb in?,5,5,4,"Bar charts could be bit bigger so we could read it easily. Other than that, all is good."
9/6/2017 18:48:49,1,11,Invest in Centrum-West,4,4,4,great job!
9/6/2017 18:48:49,1,4,Best property to own is a boat and best neighborhood is Centrum West (best = most revenue),3,4,4,The graphs and tables were insightful -maybe skip talking about how you cleaned the data.
9/6/2017 18:48:53,1,4,That certain neighborhoods were better based on the % of listings that generated above average annual revenue,3,4,4,Good information overall. Lost a little flow when had to go back to the spreadsheet but had good visuals in the presentation
9/6/2017 18:49:15,1,15,"Investment is suggested, investing in lofts in one of to neighborhoods.",4,5,5,Speak slower but great information!
9/6/2017 18:55:32,1,17,Jacqueline analyzed the top 10 neighborhoods with most positive ratings in Amsterdam and cross-checked that with the number of listings on each one to show were the biggest opportunities are (in terms of under-explored neighborhoods).,4,4,5,"Very nice explanation on the data cleaning methods. Also, keeping the presentation simple and straight to the point was a good idea."
9/6/2017 18:56:19,1,14,The best property to invest in is a 2 bedroom house,5,5,5,Great
9/6/2017 18:56:31,1,5,Don't invest yet! too much unknown,5,5,5,I would love to see your excel doc.
9/6/2017 18:56:41,1,5,That it doesn't make sense to invest in that location right now because there is a lot of competition in the high performing AirBnB neighborhoods.,4,4,4,None!
9/6/2017 18:56:44,1,17,Invest in neighborhoods with high ratings and low listings ,4,4,4,I liked that she walked us through her data cleanse I also liked that she drilled into Amsterdam proper and not just every neighborhood in the city.  I also liked that the heat map. 
9/6/2017 18:56:48,1,5,Which neighborhood and which property to invest in.,5,5,5,N/A
9/6/2017 18:57:17,1,14,The investor should buy a 2 bedroom house in a specific neighborhood.,5,3,4,"The argument was 100% effective, but it was a little hard to see so many graphs next to one another. "
9/6/2017 18:57:29,1,5,Is it worth investing in an Airbnb in Amsterdam ,5,5,5,Thought it was really well done
9/6/2017 18:57:33,1,20,look at post code ,3,3,2,started out very well and organized and lost me in the middle
9/6/2017 18:57:43,1,14,2 bedroom house in the west neighborhood has best potential for revenue,4,4,4,very impressive data presentation
9/6/2017 18:57:59,1,20,normalized data by revenue per month. said apartment best. centrum was the best area.,3,3,2,Could not understand the scatter plots. The post codes didn't mean anything to me.
9/6/2017 18:58:12,1,14,Invest in a house in centrum-west,4,4,3,I think the argument was fantastic. In my opinion the visuals could have been more organized.
9/6/2017 18:58:21,1,17,Investing in one of the areas that has less listings,4,5,5,"Good very clear, maybe more data"
9/6/2017 18:58:28,1,20,Investor should focus on Oud-West and central neighborhoods,3,4,2,A lot of thought was given to how to narrow down on an area but it wasn't clear enough why the investor should feel motivated about these factors. It was good that you adjusted the scatter plot by removing the outlier.
9/6/2017 18:59:03,1,20,Focus on monthly revenue as it could make a difference in the long run,3,3,3,"more clarity on the scatterplots, didn't totally follow the zip codes information"
9/6/2017 19:04:26,1,13,Focus on analysis by neighborhood and how to increase chances of making the most revenue. Good wrap up of why the selected neighborhood (Centrum-West) would be the best option for investment.,4,4,2,"Presentation considered investor's point of view, which is good (adapting the presentation to your audience). Some tables and graphs could use better formatting to improve visualization."
9/6/2017 19:04:33,1,6,Which neighborhood receive most positive reviews,5,5,5,N/A
9/6/2017 19:04:49,1,6,"Yes, you should invest - based on high reviews, investing in the top three neighborhoods would be a good investment. ",4,4,3,More graphs! Maybe more statistics could be helpful to really convince your argument.
9/6/2017 19:04:54,1,6,Best neighborhoods in Amsterdam for Investors to invest in Airbnb properties,4,4,4,Make the charts better/Explain your findings a little bit more
9/6/2017 19:04:58,1,1,Buy a house in centrum-west,4,2,2,In my opinion the presentation could have been better organized
9/6/2017 19:04:59,1,13,Airbnb should invest in Centrum West as it had the most positive reviews,4,4,4,pratice :)
9/6/2017 19:05:03,1,1,invest in property based on metrics,4,5,4,"Graphs had alot of data points--good information, but could be more concise (with less points)"
9/6/2017 19:05:13,1,1,Buy a property in Centrum West,5,3,4,"The argument, based on revenue, was effective, but hard to see within excel."
9/6/2017 19:05:14,1,1,apartments are better choice for revenue production. specifically in west neighborhood,4,4,4,impressive data
9/6/2017 19:05:17,1,13,"We should invest in an apartment in Centrum West because of tourist location, price and reviews. ",4,4,4,I liked the fact that shit listed the numbers of listing by year so that we could see a chronological picture of the market.  
9/6/2017 19:06:13,1,6,"Investor should invest in an AirBnB in Amsterdam (specifically in one of the three ""best"" neighborhoods)",4,4,3,With more time could have developed some other visuals to help support argument but the overall point was clear 
9/6/2017 19:07:10,1,7,high average reviews,4,4,4,more analytics. but the slides were organized
9/6/2017 19:08:16,1,7,"Invest in the property types with highest ratings (apartment, etc.)",4,4,4,more colorful slides to look more visually appealing
9/6/2017 19:08:41,1,7,That highest rating and property type go together.,2,3,3,I wanted to see more revenue data. Or your own ideas on how property type may impact the rating. How are people getting more reviews? It seemed more like a presentation of the data-set I already looked at.
9/6/2017 19:09:14,1,7,Present information in which property is the best to invest.,5,4,5,N/A
9/6/2017 19:14:17,1,3,used 1 host and walked us through their host history and success,4,4,4,latitude and longitude graphs of peter's properties was a very nice touch
9/6/2017 19:14:25,1,3,Apartment or House in Centrum West is the best place to invest,5,5,5,Scatter plot of latitude and longitude was nice. 
9/6/2017 19:14:44,1,3,"Base investment off a successful host (""Peter"")",4,5,5,Possibly use more of a top-rated average instead of the top performer--could be an outlier. 
9/6/2017 19:15:17,1,18,"Yes, you should invest in Centrum West - 92% properties have positive reviews",4,4,5,Consider other factors such as property price.
9/6/2017 19:15:20,1,18,It does make sense to invest in one particular neighborhood because it has the most positive reviews and most desired property type.,4,5,5,His use of overlay charts was really great.
9/6/2017 19:15:21,1,18,Which Airbnb property to invest in Amsterdam ,4,5,5,I did not understand which properties to invest in. The conclusion? 
9/6/2017 19:15:23,1,6,Invest in apartments in the center of amsterdam,3,5,5,"Analyzing one successful host with many listings may not give the fullest picture, but I think the arguments you made in the presentation backed up your method."
9/6/2017 19:15:26,1,12,Type of properties that receive the best reviews,5,5,5,none
9/6/2017 19:15:33,1,18,Certain neighborhoods are best based on quantity of listings and average review rating,4,4,5,Good combo graphs. 
9/6/2017 19:17:04,1,12,"At first, trying to understand if building a hotel in Amsterdam would be feasible/a good idea. Then, by refusing this option, he did a very good in depth analysis on the most successful neighborhoods for apartments.",5,5,4,Engaging presentation. Nice train of thought by presenting hypothesis and then proving them right or wrong. Always kept focus on the investor's objective. Nice use of the % availability data got from the website. 
